CustomerName,IsActive,Email
شركة النور,True,info@alnoor.com
مؤسسة الهدى,True,contact@alhuda.com
أحمد محمد,True,ahmad@example.com
سارة علي,True,sara@example.com
شركة التقنية,True,techco@example.com
مركز الخدمات,True,servicecenter@example.com
مؤسسة الريان,True,riyancorp@example.com
محمد سالم,True,m.salem@example.com
خالد حسن,True,khasan@example.com
التجارة المتحدة,True,utrade@example.com
نهى الأمين,True,noha@example.com
الشركة الدولية,True,globalco@example.com
مجموعة الفجر,True,fajrgroup@example.com
مركز الحلول,True,solutions@example.com
الورشة,True,workshop@example.com
